GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
candyshop,com.myapp.candyshop.exception,CandyShopApplicationException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop,CandyshopApplication,8,0,0,0,3,0,2,0,2,0
candyshop,com.myapp.candyshop.controller,JwtAuthenticationController,57,0,0,0,14,0,4,0,4,0
candyshop,com.myapp.candyshop.controller,CandyController,105,0,0,0,13,0,7,0,7,0
candyshop,com.myapp.candyshop.controller,ShopController,75,0,0,0,9,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.service,CandyShopServiceException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.controller.handler,CandyShopHandler,58,0,2,0,9,0,4,0,3,0
candyshop,com.myapp.candyshop.service.serviceimpl,JwtUserDetailsService,48,0,2,0,9,0,4,0,3,0
candyshop,com.myapp.candyshop.service.serviceimpl,CandyServiceImpl,152,0,6,0,27,0,15,0,12,0
candyshop,com.myapp.candyshop.service.serviceimpl,ShopServiceImpl,85,0,4,0,15,0,9,0,7,0
candyshop,com.myapp.candyshop.exception.custom,ShopNotFoundException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.custom,NoShopPresentException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.custom,NoCandyPresentException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.custom,CandyNotFoundException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.custom,CandyAlreadyPresentException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.exception.custom,ShopAlreadyPresentException,23,0,0,0,10,0,5,0,5,0
candyshop,com.myapp.candyshop.dto,CandyDto,11,15,0,0,6,6,3,3,3,3
candyshop,com.myapp.candyshop.dto,ShopDto,7,9,0,0,4,4,2,2,2,2
candyshop,com.myapp.candyshop.dto,ResponseBody,46,0,0,0,20,0,10,0,10,0
candyshop,com.myapp.candyshop.dto,UserDTO,17,0,0,0,7,0,5,0,5,0
candyshop,com.myapp.candyshop.dto,ErrorDTO,26,0,0,0,12,0,6,0,6,0
candyshop,com.myapp.candyshop.config,ModelMapperConfig,7,0,0,0,2,0,2,0,2,0
candyshop,com.myapp.candyshop.config,JwtRequestFilter,81,0,10,0,23,0,7,0,2,0
candyshop,com.myapp.candyshop.config,SwaggerConfig,46,0,0,0,5,0,4,0,4,0
candyshop,com.myapp.candyshop.config,JwtTokenUtil,95,0,4,0,15,0,11,0,9,0
candyshop,com.myapp.candyshop.config,JwtAuthenticationEntryPoint,8,0,0,0,3,0,2,0,2,0
candyshop,com.myapp.candyshop.config,WebSecurityConfig,79,0,0,0,13,0,5,0,5,0
candyshop,com.myapp.candyshop.entity,DAOUser,17,0,0,0,7,0,5,0,5,0
candyshop,com.myapp.candyshop.entity,Shop,17,19,0,0,7,9,5,3,5,3
candyshop,com.myapp.candyshop.entity,Candy,20,26,0,0,8,12,6,4,6,4
candyshop,com.myapp.candyshop.entity,JwtRequest,26,0,0,0,12,0,6,0,6,0
candyshop,com.myapp.candyshop.entity,JwtResponse,9,0,0,0,4,0,2,0,2,0
